rok,hlavni_pricina,celkem
2010,nedání přenosti v jízdě,399
2010,nepřiměřená rychlost jízdy,238
2010,nesprávný způsob jízdy,1517
2010,nesprávé předjíždění,18
2010,nezaviněno řidičem,191
2010,technická závada vozidla,5
2011,nedání přenosti v jízdě,434
2011,nepřiměřená rychlost jízdy,230
2011,nesprávný způsob jízdy,1648
2011,nesprávé předjíždění,12
2011,nezaviněno řidičem,160
2011,technická závada vozidla,12
2012,nedání přenosti v jízdě,407
2012,nepřiměřená rychlost jízdy,285
2012,nesprávný způsob jízdy,1644
2012,nesprávé předjíždění,11
2012,nezaviněno řidičem,151
2012,technická závada vozidla,12
2013,nedání přenosti v jízdě,425
2013,nepřiměřená rychlost jízdy,269
2013,nesprávný způsob jízdy,1804
2013,nesprávé předjíždění,13
2013,nezaviněno řidičem,193
2013,technická závada vozidla,5
2014,nedání přenosti v jízdě,441
2014,nepřiměřená rychlost jízdy,306
2014,nesprávný způsob jízdy,1757
2014,nesprávé předjíždění,12
2014,nezaviněno řidičem,160
2014,technická závada vozidla,5
2015,nedání přenosti v jízdě,434
2015,nepřiměřená rychlost jízdy,296
2015,nesprávný způsob jízdy,1633
2015,nesprávé předjíždění,13
2015,nezaviněno řidičem,148
2015,technická závada vozidla,7
2016,nedání přenosti v jízdě,409
2016,nepřiměřená rychlost jízdy,248
2016,nesprávný způsob jízdy,1652
2016,nesprávé předjíždění,9
2016,nezaviněno řidičem,144
2016,technická závada vozidla,5
2017,nedání přenosti v jízdě,498
2017,nepřiměřená rychlost jízdy,250
2017,nesprávný způsob jízdy,1867
2017,nesprávé předjíždění,10
2017,nezaviněno řidičem,172
2017,technická závada vozidla,13
2018,nedání přenosti v jízdě,537
2018,nepřiměřená rychlost jízdy,270
2018,nesprávný způsob jízdy,1624
2018,nesprávé předjíždění,17
2018,nezaviněno řidičem,144
2018,technická závada vozidla,4
2019,nedání přenosti v jízdě,501
2019,nepřiměřená rychlost jízdy,247
2019,nesprávný způsob jízdy,1799
2019,nesprávé předjíždění,15
2019,nezaviněno řidičem,185
2019,technická závada vozidla,11
2020,nedání přenosti v jízdě,337
2020,nepřiměřená rychlost jízdy,257
2020,nesprávný způsob jízdy,1610
2020,nesprávé předjíždění,6
2020,nezaviněno řidičem,130
2020,technická závada vozidla,5
2021,nedání přenosti v jízdě,335
2021,nepřiměřená rychlost jízdy,235
2021,nesprávný způsob jízdy,1699
2021,nesprávé předjíždění,7
2021,nezaviněno řidičem,89
2021,technická závada vozidla,1
2022,nedání přenosti v jízdě,369
2022,nepřiměřená rychlost jízdy,201
2022,nesprávný způsob jízdy,1588
2022,nesprávé předjíždění,3
2022,nezaviněno řidičem,106
2022,technická závada vozidla,4
2023,nedání přenosti v jízdě,328
2023,nepřiměřená rychlost jízdy,113
2023,nesprávný způsob jízdy,1344
2023,nesprávé předjíždění,7
2023,nezaviněno řidičem,102
